cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3549102;São João da Boa Vista;77.304;83.585;87.340;88.436;86.032;81.071;0,78;0,44;0,12;-0,28;-0,59
3549201;São João das Duas Pontes;2.661;2.567;2.476;2.365;2.261;2.103;-0,36;-0,36;-0,46;-0,45;-0,72
3549250;São João de Iracema;1.671;1.779;1.850;1.866;1.826;1.745;0,63;0,39;0,09;-0,22;-0,45
3549300;São João do Pau d'Alho;2.185;2.104;1.985;1.866;1.732;1.587;-0,38;-0,58;-0,62;-0,74;-0,87
3549409;São Joaquim da Barra;41.530;46.469;50.274;52.600;53.099;52.065;1,13;0,79;0,45;0,09;-0,2
3549508;São José da Bela Vista;8.066;8.403;8.727;9.033;9.218;9.198;0,41;0,38;0,35;0,2;-0,02
3549607;São José do Barreiro;4.141;4.078;4.070;4.099;4.097;4.008;-0,15;-0,02;0,07;0;-0,22
3549706;São José do Rio Pardo;50.022;51.885;53.206;53.577;52.618;50.499;0,37;0,25;0,07;-0,18;-0,41
3549805;São José do Rio Preto;357.705;407.816;447.924;466.238;464.364;447.629;1,32;0,94;0,4;-0,04;-0,37
3549904;São José dos Campos;538.298;629.106;710.654;763.810;786.847;785.264;1,57;1,23;0,72;0,3;-0,02
3549953;São Lourenço da Serra;12.145;13.957;15.579;16.887;17.604;17.874;1,4;1,11;0,81;0,42;0,15
3550001;São Luiz do Paraitinga;10.424;10.397;10.569;10.687;10.654;10.422;-0,03;0,16;0,11;-0,03;-0,22
3550100;São Manuel;36.502;38.327;39.574;40.447;40.452;39.441;0,49;0,32;0,22;0;-0,25
3550209;São Miguel Arcanjo;30.743;31.445;32.000;33.088;33.921;34.092;0,23;0,18;0,33;0,25;0,05
3550308;São Paulo;10.426.384;11.245.983;11.869.660;12.242.971;12.354.697;12.205.291;0,76;0,54;0,31;0,09;-0,12
3550407;São Pedro;27.811;31.629;34.208;35.897;36.334;35.725;1,29;0,79;0,48;0,12;-0,17
3550506;São Pedro do Turvo;6.889;7.195;7.369;7.532;7.507;7.340;0,44;0,24;0,22;-0,03;-0,22
3550605;São Roque;66.537;78.711;87.435;92.329;93.559;91.783;1,69;1,06;0,55;0,13;-0,19
3550704;São Sebastião;57.745;73.793;87.135;96.765;102.851;105.635;2,48;1,68;1,05;0,61;0,27
3550803;São Sebastião da Grama;12.448;12.102;11.936;11.827;11.553;11.028;-0,28;-0,14;-0,09;-0,23;-0,46
3550902;São Simão;13.658;14.340;14.847;15.188;15.120;14.700;0,49;0,35;0,23;-0,04;-0,28
3551009;São Vicente;303.199;332.193;357.929;378.230;386.766;385.408;0,92;0,75;0,55;0,22;-0,04
3551108;Sarapuí;7.792;9.016;10.110;10.999;11.536;11.739;1,47;1,15;0,85;0,48;0,17
3551207;Sarutaiá;3.732;3.623;3.646;3.689;3.697;3.671;-0,3;0,06;0,12;0,02;-0,07
3551306;Sebastianópolis do Sul;2.546;3.027;3.293;3.368;3.284;3.094;1,75;0,85;0,23;-0,25;-0,59
3551405;Serra Azul;7.433;11.217;12.282;13.189;13.675;13.807;4,2;0,91;0,72;0,36;0,1
3551504;Serrana;32.499;38.821;44.434;48.320;50.350;50.860;1,79;1,36;0,84;0,41;0,1
3551603;Serra Negra;23.829;26.365;27.440;27.675;27.051;25.796;1,02;0,4;0,09;-0,23;-0,47
3551702;Sertãozinho;94.499;109.936;122.355;128.850;130.678;128.722;1,52;1,08;0,52;0,14;-0,15
3551801;Sete Barras;13.702;13.011;12.628;12.847;13.072;13.115;-0,52;-0,3;0,17;0,17;0,03
3551900;Severínia;13.570;15.484;17.126;18.361;18.907;18.808;1,33;1,01;0,7;0,29;-0,05
3552007;Silveiras;5.373;5.788;6.204;6.514;6.676;6.677;0,75;0,7;0,49;0,25;0
3552106;Socorro;32.684;36.651;38.783;39.538;38.952;37.563;1,15;0,57;0,19;-0,15;-0,36
